;Herhaaltijd;alpha;beta;AA;BB;mean;pct_025;pct_500;pct_975
0;2;414,869;172,315;-350,094;9463,836;6583,840380313496;6216,333;6586,143;6938,268
1;3;770,763;1804,005;-36565,503;137963,235;15680,094928471219;12619,432;15671,026;18792,285
2;5;599,687;758,794;-9908,417;46137,294;14832,366487186793;13357,815;14830,755;16316,07
3;7;20,221;2872,962;5015,217;480222,896;8336,532823112122;7053,244;8282,698;9925,531
4;10;1255,487;132,773;-73775,504;16436,483;7808,620675974962;6364,622;7826,137;9153,103
5;15;7,442;8,661;7419,684;12547,534;9789,519415761039;8618,783;9781,289;11005,923
6;20;1618,807;210,478;-66709,58;20741,553;10679,4032685071;9366,633;10691,671;11922,467
7;30;656,973;527,939;-22050,6;40132,612;12426,805357761594;10662,676;12428,71;14180,108
8;100;13,69;8,315;8069,162;15513,889;12700,759938195864;11164,317;12728,777;14080,677
9;300;5,476;4,505;11142,508;15633,143;13606,260856427212;12277,12;13621,411;14852,79
10;1250;2,245;1,807;12580,481;15798,129;14363,210457058243;12993,352;14394,338;15577,871
11;3000;790,323;234,265;-28238,976;27519,826;14770,959381876422;13310,368;14780,807;16175,605
12;10000;130,288;374,668;4122,386;47240,664;15247,700292857198;13643,976;15233,916;16929,702
13;30000;5,463;3,189;10938,601;18612,992;15784,32430478502;13304,692;15865,253;17826,33
